,House,Price,Ubication,Features
0,"Venta De Residencia En El Campanario, Club De Golf, Terreno 1,000 M2, De Autor !","26,000,000","El Campanario, Querétaro, QuerétaroVer información de la zona",[]
1,"Preciosa Residencia En El Campanario, 5 Recamaras, 5.5 Baños, Diseño De Autor...","20,500,000","El Campanario, Querétaro, QuerétaroVer información de la zona","['Superficie total733 m²', 'Superficie construida631 m²', 'Recámaras5', 'Baños5', 'Estacionamientos4', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes10', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
2,"Se Vende Preciosa Residencia En Lomas Del Campanario I, Gran Ubicación De Lujo!","10,800,000","El Campanario, Querétaro, QuerétaroVer información de la zona","['Superficie total317 m²', 'Superficie construida359 m²', 'Recámaras4', 'Baños5', 'Estacionamientos3', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes9', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
3,"En Venta Residencia En El Campanario, En Esquina, Rodeada De Jardín, Lujo!","18,500,000","El Campanario, Querétaro, QuerétaroVer información de la zona","['Superficie total718 m²', 'Superficie construida365 m²', 'Recámaras4', 'Baños3', 'Estacionamientos4', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
4,"Preciosa Residencia En El Campanario, Diseño De Autor, Rodeada De Jardines, Lujo","19,900,000","El Campanario, Querétaro, QuerétaroVer información de la zona","['Superficie total714 m²', 'Superficie construida521 m²', 'Recámaras3', 'Baños4', 'Estacionamientos4', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
5,"Linda Residencia En Milenio Iii, 4 Niveles, Sótano, Roof Garden, Jardín, Lujo","7,500,000","Milenio III, Querétaro, QuerétaroVer información de la zona","['Superficie total258 m²', 'Superficie construida402 m²', 'Recámaras3', 'Baños4', 'Estacionamientos4', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes7', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
6,"Hermosa Residencia En Cumbres Del Cimatario, Roof Garden, Cochera Techada, Lujo","6,550,000","Cumbres del Cimatario, Querétaro, QuerétaroVer información de la zona","['Superficie total301 m²', 'Superficie construida451 m²', 'Recámaras3', 'Baños5', 'Estacionamientos4', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes10', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
7,"Hermosa Residencia En Milenio Iii, Privada, Alberca, 3 Recamaras Con Baño Y Vest","5,850,000","Milenio III, Querétaro, QuerétaroVer información de la zona","['Superficie total210 m²', 'Superficie construida380 m²', 'Recámaras3', 'Baños3', 'Estacionamientos3', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
8,"Venta De Casas En Lomas Del Marques En Altos Del Marques, Gran Ubicación Y Lujo!","3,316,000","Lomas Del Marques, Querétaro, QuerétaroVer información de la zona","['Superficie total133 m²', 'Superficie construida120 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
9,"Casas En Venta En El Refugio, Alberca Infinita, Seguridad 24.7, Gran Plusvalía !","3,100,000","Residencial El Refugio, Querétaro, QuerétaroVer información de la zona","['Superficie total158 m²', 'Superficie construida141 m²', 'Recámaras2', 'Baños2', 'Estacionamientos2', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes5', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
10,"Hermosa Residencia En Loma Dorada, Super Céntrica, 4 Niveles !","14,000,000","Loma Dorada, Querétaro, QuerétaroVer información de la zona","['Superficie total334 m²', 'Superficie construida730 m²', 'Recámaras4', 'Baños5', 'Estacionamientos4', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes10', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
11,"Estrena Residencia En La Espiga Residencial, Diseño De Autor, Gran Jardín, Cto S","8,610,000","Fray Junípero Serra, Querétaro, QuerétaroVer información de la zona","['Superficie total323 m²', 'Superficie construida280 m²', 'Recámaras3', 'Baños4', 'Estacionamientos3', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
12,Casa Con Roof Garden Y Gran Vista En El Refugio  Jce 23-4706,"3,440,000","El Refugio, Residencial El Refugio, Querétaro, QuerétaroVer información de la zona","['Superficie total217 m²', 'Superficie construida0 m²', 'Recámaras3', 'Baños4', 'Estacionamientos2', 'Propiedad en remateNo', 'Antigüedad9 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
