,House,Price,Ubication,Features
0,Rcv Casa Preventa La Vista Residencial Roof G,"4,650,000","La Vista Residencial, Querétaro, QuerétaroVer información de la zona",[]
1,"Casa En Venta En Virrey De Brasil, Loma Del Márquez","5,650,000","Av Paseo De La Reforma, Lomas Del Marques, Querétaro, QuerétaroVer información de la zona","['no disponible', 'no disponible']"
2,Casa En Venta En Queretaro. Sh05,"2,600,000","Av Cumbres De Juriquilla, Cumbres Del Lago, Santiago De Querétaro, Altavista Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total120 m²', 'Superficie construida115 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad10 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaDúplex', 'OrientaciónNorte', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
3,Casa En Juriquilla En Venta,"4,289,600","Juriquilla Privada, Querétaro, QuerétaroVer información de la zona","['Superficie total190 m²', 'Superficie construida250 m²', 'Recámaras3', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateSí', 'Antigüedad6 años', 'Ambientes3', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónOriente', 'Mantenimiento1,000 MXN']"
4,"¡¡jb-hermosa Casa En Cumbres Del Lago Queretaro, Excelente Oportunidad De Remate!!","6,000,000","Lago De Chapala 132, Cumbres Del Lago, Juriquilla, Cumbres Del Lago, Querétaro, QuerétaroVer información de la zona","['Superficie total300 m²', 'Superficie construida1 m²', 'Recámaras4', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Mantenimiento627,401,408 MXN']"
5,"Casa De Recuperación Bancaria Adjudicada En Cordillera De Los Andes, Col. La Loma Viii, Querétaro. ¡no Créditos!","849,000","Cordillera De Los Andes 2088, 76116 Santiago De Querétaro, Qro., Mexico, La Loma, Querétaro, QuerétaroVer información de la zona","['Superficie total327 m²', 'Superficie construida327 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad7 años', 'Ambientes5', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento1,000 MXN']"
6,"Casa En Condominio En Venta En Juriquilla, Querétaro, Querétaro","1,283,400","Juriquilla, Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total96 m²', 'Superficie construida96 m²', 'Recámaras2', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad2,009 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos1', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento1 MXN']"
7,"Casa En C. Av. Trenistas, Anita, Queretaro, Queretaro. ¡casa En Remate! -jmjc7","5,390,000","Avenida Trenistas, Santa Ana, Querétaro, QuerétaroVer información de la zona","['Superficie total181 m²', 'Superficie construida261 m²', 'Recámaras3', 'Baños3', 'Estacionamientos0', 'Es propiedad en remateNo', 'Antigüedad10 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaDúplex', 'OrientaciónNorte', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
8,"Remato Casa En: Dalia 1, Brisas De Cuautla,  Cuautla, Morelos.","730,000","Fraccionamiento San Jerónimo, Misión de San Jeronimo, Querétaro, QuerétaroVer información de la zona","['Superficie total145 m²', 'Superficie construida200 m²', 'Recámaras4', 'Baños2', 'Estacionamientos1', 'Es propiedad en remateSí', 'Antigüedad15 años', 'Ambientes1', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento0 MXN']"
9,Casa En Venta J-6  En Fraccionamiento San Jerónimo En Querétaro 3 Recamaras,"805,000","Bosque España, Colinas Del Bosque Ii, Filosofal, El Pueblito, Colinas Del Bosque II, Querétaro, QuerétaroVer información de la zona","['Superficie total700 m²', 'Superficie construida700 m²', 'Recámaras4', 'Baños3', 'Estacionamientos3', 'Es propiedad en remateSí', 'Antigüedad20 años', 'Ambientes14', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónSur']"
10,"Venta De Casa En Bosque De España, El Pueblito, Querétaro  Jsg-0031","1,200,000","Av. Vista Alegre 2120, El Arco, Querétaro, QuerétaroVer información de la zona","['Superficie total173 m²', 'Superficie construida280 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad8 años', 'Ambientes5', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaDúplex', 'OrientaciónSur']"
11,"Se Vende Hermosa Casa En Rancho Bellavista, ¡muy Amplia Y Barata!","3,600,000","Calle Vicente Guerrero 91, Centro, Querétaro, QuerétaroVer información de la zona","['Superficie total600 m²', 'Superficie construida557 m²', 'Recámaras4', 'Baños2', 'Estacionamientos4', 'Es propiedad en remateNo', 'Antigüedad10 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos1', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento100 MXN']"
12,Casa En Venta Queretaro. Recuperación Bancaria  Laab1,"3,300,000","Casa En Venta, Sonterra  (vg), Querétaro, Querétaro","['Superficie total119 m²', 'Superficie construida109 m²', 'Recámaras3', 'Baños2', 'Estacionamientos1', 'Es propiedad en remateSí', 'Antigüedad10 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento0 MXN']"
13,"Bonita Casa En Venta En Esquina Con Terreno Excedente, Sonterra  (vg)","640,000","Primera De Fresnos, Jurica, Querétaro, QuerétaroVer información de la zona","['Superficie total110 m²', 'Superficie construida180 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad11 años', 'Ambientes1', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento1 MXN']"
14,Casa En Remate Bancario Queretaro!!!!,"1,600,000","Sonterra Residencial, Querétaro, Querétaro","['Superficie total146 m²', 'Superficie construida0 m²', 'Recámaras3', 'Baños1', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes5', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
15,Hermosa Casa En Venta Con Recamara En Planta Baja En Fraccionamiento Tres Cantos Frente A Las Ame...,"1,216,000","Bosque España, Colinas Del Bosque II, Querétaro, QuerétaroVer información de la zona","['Superficie total300 m²', 'Superficie construida250 m²', 'Recámaras3', 'Baños2', 'Estacionamientos3', 'Es propiedad en remateSí']"
16,Gran Oportunidad De Comprar En Colinas Del Bosque Ii Querétaro Crmc,"1,680,000","Ángeles 39, Candiles, Querétaro, QuerétaroVer información de la zona","['Superficie total78 m²', 'Superficie construida94.7 m²', 'Recámaras3', 'Baños3', 'Estacionamientos0', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaDúplex', 'OrientaciónNorte', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
17,Tu Nueva Casa En Santiago De Queretaro Hm,"1,869,000","Cerro De Acasulco 107, Colinas Del Cimatario, Querétaro, QuerétaroVer información de la zona","['Superficie total600 m²', 'Superficie construida556 m²', 'Recámaras4', 'Baños2', 'Estacionamientos4', 'Es propiedad en remateSí', 'Antigüedad10 años', 'Ambientes1', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento1 MXN']"
18,Vr_ Casa De Remate Bancario En Querétaro ¡gran Oportunidad!,"800,000","Av. Puerta Verona 3001, Viñedos, Querétaro, QuerétaroVer información de la zona","['Superficie total90 m²', 'Superficie construida110 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad13 años', 'Ambientes1', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento10 MXN']"
19,"Excelente Oportunidad, Casa En Venta En Viñedos, Queretaro","730,000","Galindo, Felipe Carrillo Puerto, Querétaro, QuerétaroVer información de la zona","['Superficie total395 m²', 'Superficie construida260 m²', 'Recámaras4', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateSí', 'Antigüedad15 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento1 MXN']"
20,Casa En Venta En Queretaro,"1,700,000","Hacienda De Chichimequillas 217, Real De Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total110 m²', 'Superficie construida75 m²', 'Recámaras2', 'Baños1', 'Estacionamientos1', 'Es propiedad en remateSí']"
21,Remato Casa En Juriquilla,"3,300,000","La Joya, La Joya, Querétaro, Querétaro","['Superficie total180 m²', 'Superficie construida180 m²', 'Recámaras4', 'Baños2', 'Estacionamientos1', 'Es propiedad en remateSí', 'Antigüedad20 años', 'Ambientes5', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónSur']"
22,"Casa En Remate Bancario - La Joya, Querétaro, Qro. -jcbb1","2,900,000","José María Vertiz 461, Candiles, Querétaro, QuerétaroVer información de la zona","['no disponible', 'no disponible']"
23,"Casa En Venta En Candiles, Querétaro/ Recuperacion Bancaria Laab1","977,400","Hacienda De Balvanera, 76226 El Salitre, Qro., México, Villas Del Mesón, Querétaro, QuerétaroVer información de la zona","['Superficie total430 m²', 'Superficie construida430 m²', 'Recámaras6', 'Baños5', 'Estacionamientos4', 'Es propiedad en remateSí', 'Antigüedad15 años', 'Ambientes2', 'Bodegas2', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento1 MXN']"
24,"Gran Remate, Casa En Col. Villas Del Mesón, Juriquilla, Qro.","990,101","Avenida Bellavista, Rancho Bellavista, Querétaro, QuerétaroVer información de la zona","['Superficie total130 m²', 'Superficie construida230 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad10 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento0 MXN']"
25,"Casa En Remate Bancario - Rancho Bellavista, Querétaro, Qro. - Jcbb1","5,381,200","Palma Datilera El Salitre, 76127 Santiago De Querétaro, Qro., Mexico, Palmares, Querétaro, QuerétaroVer información de la zona","['Superficie total120 m²', 'Superficie construida160 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad15 años', 'Ambientes1', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento1 MXN']"
26,Casa En Venta En Torre De Piedra La Carmina Residencial Frente A Antea A 5 Minutos De Juriquilla,"978,000","Don Baltazar 24, Colinas De Menchaca, Querétaro, QuerétaroVer información de la zona","['Superficie total450 m²', 'Superficie construida330 m²', 'Recámaras4', 'Baños4', 'Estacionamientos4', 'Es propiedad en remateSí', 'Antigüedad10 años', 'Ambientes3', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
27,"Excelente Oportunidad, Casa En Venta En ","6,448,000","Mirador De La Bufa 111, Candiles, Querétaro, QuerétaroVer información de la zona","['Superficie total90 m²', 'Superficie construida117 m²', 'Recámaras3', 'Baños2', 'Estacionamientos1', 'Es propiedad en remateSí', 'Antigüedad10 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento0 MXN']"
28,"Casa En Remate Bancario -  Lomas Del Mirador,  Candiles, Queretaro Eo/-","725,000","Cerrito Colorado, Querétaro, QuerétaroVer información de la zona","['Superficie total151 m²', 'Superficie construida188 m²', 'Recámaras4', 'Baños5', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes4', 'Bodegas1', 'Cantidad de pisos3', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento1,100 MXN']"
29,Rcv Casa Venta Cerrito Colorado,"3,300,000","Marqués De La Villa Del Villar Del Aguila 1961, Centro Sur, Santiago De Querétaro, Santiago, Querétaro, QuerétaroVer información de la zona","['Superficie total62 m²', 'Superficie construida90 m²', 'Recámaras2', 'Baños1', 'Estacionamientos1', 'Es propiedad en remateSí']"
30,"Casa En Venta En Marques De La Villa Del Villar Del Aguila 1961, Santiago De Queretaro, Queretaro - Rab","1,575,000","Juriquilla Santa Fe, Querétaro, QuerétaroVer información de la zona","['Superficie total100 m²', 'Superficie construida120 m²', 'Recámaras3', 'Baños1', 'Estacionamientos1', 'Es propiedad en remateSí', 'Antigüedad20 años', 'Ambientes5', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento2 MXN']"
31,Casa Con Habitación En Planta Baja Juriquilla Santa Fe,"840,000","Vicente Acosta 72, El Ensueño, Querétaro, QuerétaroVer información de la zona","['Superficie total90 m²', 'Superficie construida58 m²', 'Recámaras3', 'Baños1', 'Estacionamientos1', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes4', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
32,"Remato Casa En: Vicente Acosta 72, Ensueño, Querétaro, Querétaro.","3,250,000","C. Maciso Tibesti 300 - 600, Misión de Carrillo, Querétaro, QuerétaroVer información de la zona","['Superficie total175 m²', 'Superficie construida200 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad6 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos1', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento9 MXN']"
33,Casa En Venta Santiago Queretaro. Recuperación Bancaria Laab1,"833,000","Ibiza, Bosques Del Acueducto, Querétaro, QuerétaroVer información de la zona","['Superficie total128 m²', 'Superficie construida128 m²', 'Recámaras3', 'Baños3', 'Estacionamientos0', 'Es propiedad en remateNo', 'Antigüedad1 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaDúplex', 'OrientaciónNorte', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
34,"Gran Remate, Casa En Col. Bosques Del Acueducto, Querétaro, Qro.","640,000","Paseo De El Cairo, Tejeda, Querétaro, QuerétaroVer información de la zona","['Superficie total204 m²', 'Superficie construida204 m²', 'Recámaras4', 'Baños3', 'Estacionamientos3', 'Es propiedad en remateSí', 'Antigüedad20 años', 'Ambientes12', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente']"
35,"Hermosa Y Muy Amplia Casa En Tejeda El Pueblito Qro, Con Recursos Propios","5,676,800","Vista Hermosa, Querétaro, QuerétaroVer información de la zona","['Superficie total80 m²', 'Superficie construida140 m²', 'Recámaras3', 'Baños2', 'Estacionamientos1', 'Es propiedad en remateSí', 'Antigüedad24 años', 'Ambientes1', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento1 MXN']"
36,Casa De Un Piso,"5,600,000","Residencial El Refugio, Querétaro, QuerétaroVer información de la zona","['Superficie total232 m²', 'Superficie construida336 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad14 años', 'Ambientes3', 'Bodegas0', 'Cantidad de pisos3', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento0 MXN']"
37,"Casa En Venta El Refugio, Torre De Piedra, Bugambilia","4,100,000","Avenida Equinoccio, Puerta Del Sol II, Querétaro, QuerétaroVer información de la zona","['Superficie total335 m²', 'Superficie construida338 m²', 'Recámaras6', 'Baños11', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad20 años', 'Ambientes17', 'Bodegas1', 'Cantidad de pisos3', 'Tipo de casaTríplex', 'OrientaciónPoniente', 'Mantenimiento1 MXN']"
