,House,Price,Ubication,Features
0,"Casa En Blvd. Hacienda La Gloria 1701, Santa María, Santiago De Querétaro/ Recuperación Bancaria- Dav0","800,642","Blvd. Hacienda La Gloria 1701, Santa María, Santiago De Querétaro, Santa María, Querétaro, QuerétaroVer información de la zona","['no disponible', 'no disponible']"
1,"Casa En Tzeltales 299, Cerrito Colorado, Santiago De Querétaro, Recuperación Bancaria-dav0","376,528","Tzeltales 299, Cerrito Colorado, Santiago De Querétaro, Cerrito Colorado, Querétaro, QuerétaroVer información de la zona","['Superficie total120 m²', 'Superficie construida80 m²', 'Recámaras2', 'Baños2', 'Estacionamientos1', 'Propiedad en remateSí', 'Antigüedad15 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento0 MXN']"
2,Venta Casa En Querétaro Mc Sh05,"867,000","Av De Monte Sacro 2100 - 2400, El Vergel, Santiago De Querétaro, El Vergel, Querétaro, QuerétaroVer información de la zona","['Superficie total120 m²', 'Superficie construida90 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Propiedad en remateSí', 'Antigüedad9 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónOriente', 'Mantenimiento500 MXN']"
3,"Casa En Venta- C. Los Plateros, Peñuelas, Santiago Querétaro, Qro. ¡remate Bancario! -jmjc10","964,600","C. Plateros, San Pedrito Peñuelas I, Santiago De Querétaro, Peñuelas, Querétaro, QuerétaroVer información de la zona","['Superficie total260 m²', 'Superficie construida280 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Propiedad en remateSí', 'Antigüedad25 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónOriente', 'Mantenimiento0 MXN']"
4,"Departamento En Venta En Pizarra Residencial Juriquilla, Queretaro!! Mg*","1,850,000","Circuito Pizarra 600 - 900, Juriquilla, Querétaro, Querétaro","['Superficie total198 m²', 'Superficie construida120 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Propiedad en remateSí', 'Antigüedad6 años', 'Ambientes1', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónOriente', 'Mantenimiento1 MXN']"
5," Casa En Venta En Santa Elena 710, Santa Monica 2da Sección, Queretaro - Rab","951,300","Sta. Elena 710, Sta Monica 2da Secc, Santiago De Querétaro, Santa Mónica 2a Secc., Querétaro, QuerétaroVer información de la zona","['Superficie total150 m²', 'Superficie construida150 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Propiedad en remateSí', 'Antigüedad10 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos1', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento10 MXN']"
6,"Se Vende Casa En Recuperacion Bancaria En Colinas Del Cimatario, Queretaro ! Solo Contado.","1,120,000","Av Fray Luis De León, Colinas Del Cimatario, Santiago De Querétaro, Colinas Del Cimatario, Querétaro, QuerétaroVer información de la zona","['Superficie total130 m²', 'Superficie construida130 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Propiedad en remateSí']"
7,"Casa Amplia En Venta, Tejada Querétaro.","1,799,300","P.º De Bonn 282, Tejeda, El Pueblito, Tejeda, Querétaro, QuerétaroVer información de la zona","['Superficie total252 m²', 'Superficie construida252 m²', 'Recámaras4', 'Baños2', 'Estacionamientos1', 'Propiedad en remateSí', 'Antigüedad15 años', 'Ambientes8', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento0 MXN']"
8,"Venta De Casa, 460mts En Querétaro.","1,369,000","Calle Del, Rancho Largo 115, Villas Del Mesón, Juriquilla, Villas Del Mesón, Querétaro, QuerétaroVer información de la zona","['Superficie total460 m²', 'Superficie construida460 m²', 'Recámaras3', 'Baños2', 'Estacionamientos3', 'Propiedad en remateSí', 'Antigüedad15 años', 'Ambientes8', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
9,Dma Casa En Venta Colinas Del Cimatorio Santiago De Queretaro Mexico,"1,120,000","Av Fray Luis De León, Colinas Del Cimatario, Querétaro, QuerétaroVer información de la zona","['Superficie total130 m²', 'Superficie construida130 m²', 'Recámaras3', 'Baños1', 'Estacionamientos2', 'Propiedad en remateSí', 'Antigüedad10 años', 'Ambientes1', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento1 MXN']"
10,"Casa En Areca 128, Los Robles, Santiago De Querétaro/ Recuperación Bancaria-dav0","659,202","Areca 128, Los Robles, Santiago De Querétaro, Los Robles, Querétaro, QuerétaroVer información de la zona","['Superficie total80 m²', 'Superficie construida70 m²', 'Recámaras2', 'Baños2', 'Estacionamientos1', 'Propiedad en remateSí', 'Antigüedad10 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento0 MXN']"
11,"Hermosa Casa En Venta En  Milenio Iii, Excelente Oportunidad!!!","761,000","Senda Del Rocío, Milenio Iii, Santiago De Querétaro, Milenio III Fase A, Querétaro, QuerétaroVer información de la zona","['Superficie total140 m²', 'Superficie construida200 m²', 'Recámaras4', 'Baños2', 'Estacionamientos2', 'Propiedad en remateSí', 'Antigüedad15 años', 'Ambientes3', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónOriente']"
12,"Casa En Venta En Barroco 9, Corregidora, Queretaro - Rab","1,701,770","Barroco 9, Mision Mariana Ii, Candiles, Corregidora, Querétaro, QuerétaroVer información de la zona","['Superficie total90 m²', 'Superficie construida90 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Propiedad en remateSí', 'Antigüedad9 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos1', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento9 MXN']"
13,"Casa En Venta En Condominio Milá Residencial , Juriquilla, Querétaro En Calle De Circuito Pizarra # 622. Cd*","1,850,000","Circuito Pizarra 622, San Isidro Juriquilla, Querétaro, Querétaro","['Superficie total198 m²', 'Superficie construida119 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Propiedad en remateSí', 'Antigüedad6 años', 'Ambientes0', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente']"
14,"Venta De Casa En El Pueblito, Querétaro  Jsg-0022","1,080,000","P.º Sicilia 11, Santiago De Querétaro, Corregidora, Querétaro, QuerétaroVer información de la zona","['Superficie total158 m²', 'Superficie construida240 m²', 'Recámaras3', 'Baños1', 'Estacionamientos2', 'Propiedad en remateNo', 'Antigüedad10 años', 'Ambientes1', 'Bodegas0', 'Cantidad de pisos1', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento100 MXN']"
15,Casa A La Venta Con Buena Ubicación En Querétaro ,"830,000","Ing. Manuel Herrera 16, San Javier, Santiago De Querétaro, San Javier, Querétaro, QuerétaroVer información de la zona","['Superficie total220 m²', 'Superficie construida220 m²', 'Recámaras4', 'Baños2', 'Estacionamientos2', 'Propiedad en remateSí', 'Antigüedad18 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento1 MXN']"
16,"Casa En Av. De La Aurora 205, Santiago De Querétaro, Recuperación Bancaria-dav0","1,964,802","Av. De La Aurora 205, Santiago De Querétaro, El Ángel, Querétaro, QuerétaroVer información de la zona","['Superficie total60 m²', 'Superficie construida100 m²', 'Recámaras3', 'Baños2', 'Estacionamientos1', 'Propiedad en remateSí', 'Antigüedad15 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento0 MXN']"
17,Venta De Casa En Santiago Queretaro. Sh05,"521,991","Cordillera De Los Andes, Colinas Del Poniente, Santiago De Querétaro, San Pedro Mártir, Querétaro, QuerétaroVer información de la zona","['Superficie total100 m²', 'Superficie construida75 m²', 'Recámaras2', 'Baños1', 'Estacionamientos1', 'Propiedad en remateSí', 'Antigüedad8 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos1', 'Tipo de casaCasa', 'OrientaciónOriente', 'Mantenimiento800 MXN']"
18,Venta Bonita Casa En Queretaro Mc. Sh05,"978,000","Av. Agustín González Medina 4890, Santiago De Querétaro, Eduardo Loarca Castillo, Querétaro, QuerétaroVer información de la zona","['Superficie total120 m²', 'Superficie construida100 m²', 'Recámaras3', 'Baños2', 'Estacionamientos1', 'Propiedad en remateSí', 'Antigüedad8 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónOriente', 'Mantenimiento500 MXN']"
19,Casa En Venta En Querétaro ,"1,390,000","Punta Nte., Santiago De Querétaro, Santiago, Querétaro, QuerétaroVer información de la zona","['Superficie total75 m²', 'Superficie construida100 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Propiedad en remateNo', 'Antigüedad12 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento2,000 MXN']"
20,"Casa En Condominio En Venta En Ciudad Del Sol, Querétaro, Querétaro","1,960,000","Camino A Tlacote, Ciudad del Sol, Querétaro, QuerétaroVer información de la zona","['Superficie total90 m²', 'Superficie construida95 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Propiedad en remateNo', 'Antigüedad1 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaDúplex', 'OrientaciónNorte', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
