,House,Price,Ubication,Features
14,Casa En Remate Bancario En Querétaro Mm/,"3,300,000","Cerro De Pathé, Las Américas, Querétaro, QuerétaroVer información de la zona","['Superficie total107 m²', 'Superficie construida204 m²', 'Recámaras3', 'Baños2', 'Estacionamientos1', 'Es propiedad en remateSí', 'Antigüedad18 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento0 MXN']"
15,Cómoda Y Acogedora Casa Oportunidad Milenio Iii Santiago De Queretaro Queretaro México Gj-rl A,"987,000","Senda Del Rocío, Milenio III, Querétaro, QuerétaroVer información de la zona","['Superficie total140 m²', 'Superficie construida183 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad18 años', 'Ambientes5', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento1 MXN']"
16,Estupenda Y Acogedora Casa Milenio Lll Santiago De  Querétaro Queretaro México Gj-rl A,"895,000","Senda Inmortal, Milenio III, Querétaro, QuerétaroVer información de la zona","['Superficie total230 m²', 'Superficie construida250 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad18 años', 'Ambientes5', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento1 MXN']"
17,Casa En Queretaro Gran Oportunidad,"980,000","Barroco 9, Candiles, Querétaro, QuerétaroVer información de la zona","['Superficie total90 m²', 'Superficie construida90 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad10 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónSur']"
18,"Casa En Venta Marqués De La Villa Del Villar Del Aguila 1961, Centro Sur, 76090 Santiago De Querétaro, Querétaro","800,000","Marqués De La Villa Del Villar Del Aguila 1961, Centro Sur, Querétaro, QuerétaroVer información de la zona","['Superficie total175 m²', 'Superficie construida175 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad10 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento1,500 MXN']"
19,"Venta. Casa De Un Piso, Area De Tv, 3 Recamaras - Huertas La Joya","3,950,000","Huertas La Joya, Querétaro, QuerétaroVer información de la zona","['Superficie total360 m²', 'Superficie construida200 m²', 'Recámaras3', 'Baños3', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad4 años', 'Bodegas1', 'Tipo de casaCasa', 'Mantenimiento0 MXN']"
20,Vendo Casa En Santiago De Queretaro Cerca De Centro Universitario Bra ,"850,000","Santiago De Querétaro, Querétaro, México, Santiago, Querétaro, QuerétaroVer información de la zona","['Superficie total360 m²', 'Superficie construida360 m²', 'Recámaras4', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateSí', 'Antigüedad15 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento0 MXN']"
21,"Casa En Venta En Av. Mirador De Las Ranas 65, 76209 Santiago De Querétaro, Qro. Cmr.","1,250,000","Rinconada Del Pedregal, Querétaro, México, Rinconada Del Sol, Querétaro, QuerétaroVer información de la zona","['Superficie total123 m²', 'Superficie construida123 m²', 'Recámaras3', 'Baños1', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad5 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
22,Rcv Casa Pre Venta La Vista Residencial,"3,800,000","La Vista Residencial, Querétaro, QuerétaroVer información de la zona","['Superficie total145 m²', 'Superficie construida151 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes7', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
23,Hermosa Casa Con Espacios Amplios Y Vista Panoramica A La Ciudad,"7,600,000","C. Maciso Tibesti 422, Santiago, Querétaro, QuerétaroVer información de la zona","['Superficie total240 m²', 'Superficie construida343 m²', 'Recámaras4', 'Baños4', 'Estacionamientos0', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos3', 'Tipo de casaDúplex', 'OrientaciónNorte', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
