,House,Price,Ubication,Features
0,"Estrena Casa En Paseos Del Sol Residencial, 3 Recamaras, 2.5 Baños, Alberca..","1,585,000","Ciudad del Sol, Querétaro, QuerétaroVer información de la zona",[]
1,"Casa Con Estudio, Cuarto De Servicio, 4 Recamaras - Venta, Real De Juriquilla | Av","4,750,000","Real De Juriquilla, Juriquilla, Real De Juriquilla, Querétaro, Querétaro","['Superficie total300 m²', 'Superficie construida245 m²', 'Recámaras4', 'Baños5', 'Estacionamientos3', 'Propiedad en remateNo']"
2,Se Vende Hermosa Casa En Huertas El Carmen 6,"19,500,000","Se Vende Hermosa Casa En Huertas El Carmen 6, Corregidora, Querétaro, QuerétaroVer información de la zona","['Superficie total850 m²', 'Superficie construida680 m²', 'Recámaras4', 'Baños4', 'Estacionamientos6', 'Propiedad en remateNo', 'Antigüedad4 años', 'Ambientes0', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
3,"Venta. Casa A Pie De Calle Con 3 Recamaras - Centro, Querétaro","4,200,000","Centro, Querétaro, QuerétaroVer información de la zona","['Superficie total125 m²', 'Superficie construida125 m²', 'Recámaras3', 'Baños3', 'Estacionamientos0', 'Propiedad en remateNo', 'Antigüedad150 años', 'Bodegas1', 'Tipo de casaCasa', 'Mantenimiento0 MXN']"
4,"Casa, Cuarto De Servicio, 4 Recamaras - Venta, Quintas Del Marques","11,000,000","Quintas Del Marques, Querétaro, QuerétaroVer información de la zona","['Superficie total324 m²', 'Superficie construida444 m²', 'Recámaras4', 'Baños4', 'Estacionamientos3', 'Propiedad en remateNo', 'Antigüedad15 años', 'Bodegas1', 'Tipo de casaCasa', 'Mantenimiento0 MXN']"
5,Cumbres Del Lago Casa Nueva En Venta Icom5703,"5,800,000","Cumbres Del Lago, Querétaro, Querétaro","['Superficie total285 m²', 'Superficie construida249 m²', 'Recámaras4', 'Baños3', 'Estacionamientos2', 'Propiedad en remateNo', 'Antigüedad5 años', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'Mantenimiento0 MXN']"
6,"Casa En Venta En Cumbres Del Lago, Family Room, Cto De Servicio, Gran Jardín,..","5,500,000","Cumbres Del Lago, Querétaro, Querétaro","['Superficie total285 m²', 'Superficie construida320 m²', 'Recámaras3', 'Baños4', 'Estacionamientos3', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
7,Casa Nueva En Venta En Nuevo Refugio,"3,300,000","El Refugio Residencial, Querétaro, QuerétaroVer información de la zona","['Superficie total160 m²', 'Superficie construida199 m²', 'Recámaras4', 'Baños4', 'Estacionamientos2', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Mantenimiento0 MXN']"
8,"Casa En Venta, Zona Lomas Del Campañario Norte, 3 Habitaciones Con Baño Privado","3,300,000","La Purísima, Querétaro, QuerétaroVer información de la zona","['Superficie total119 m²', 'Superficie construida177 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes7', 'Bodegas0', 'Mantenimiento0 MXN']"
9,"Casa En El Nuevo Refugio 266m2 De Construcción, 4 Habitaciones  Ig","7,000,000","El Refugio Residencial, Querétaro, QuerétaroVer información de la zona","['Superficie total156 m²', 'Superficie construida318 m²', 'Recámaras4', 'Baños6', 'Estacionamientos2', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes10', 'Bodegas0', 'Mantenimiento0 MXN']"
10,Casa En Venta San Felipe Lomas Del Campanario Norte Queretaro,"8,990,000","El Campanario, Querétaro, QuerétaroVer información de la zona","['Superficie total274 m²', 'Superficie construida284 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes7', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
11,Casa En Venta En Villas Del Meson Juriquilla,"9,900,000","Villas Del Mesón, Juriquilla, Querétaro, México, Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total1,000 m²', 'Superficie construida450 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Propiedad en remateNo', 'Cantidad de pisos2']"
12,Casa En El Fraccionamiento Jurica,"72,680","Jurica, Querétaro, QuerétaroVer información de la zona","['Superficie total195 m²', 'Superficie construida158 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Propiedad en remateNo', 'Antigüedad17 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento1 MXN']"
13,Casa En Venta Uso De Suelo Mixto En Felipe Carrillo Puerto Magnífica Ubicación,"5,000,000","Felipe Carrillo Puerto, Querétaro, QuerétaroVer información de la zona","['Superficie total1,056 m²', 'Superficie construida453 m²', 'Recámaras3', 'Baños3', 'Estacionamientos1', 'Propiedad en remateNo', 'Antigüedad36 años', 'Ambientes7', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
14,"Se Vende Residencia En Villas Del Mesón, Una Planta, Terreno 1,000 M2, Única.","5,650,000","Villas Del Mesón, Querétaro, QuerétaroVer información de la zona","['no disponible', 'no disponible']"
15,"Casa En Cumbres Del Lago, Alberca Privada, Jardín, Terreno De 323 M2, Lujo","12,000,000","Cumbres Del Lago, Querétaro, QuerétaroVer información de la zona","['Superficie total1,000 m²', 'Superficie construida420 m²', 'Recámaras3', 'Baños5', 'Estacionamientos6', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes9', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
16,"Hermosa Casa En Santa Fe Juriquilla, Alberca, Jardín, Estudio O 3er Recámara..","4,960,000","Juriquilla Santa Fe, Querétaro, QuerétaroVer información de la zona","['Superficie total324 m²', 'Superficie construida291 m²', 'Recámaras4', 'Baños4', 'Estacionamientos3', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes9', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
17,"Preciosa, En Grand Juriquilla, Lujo, 3 Recámaras, 2.5 Baños, Jardín, Alberca !!","3,100,000","Juriquilla, Querétaro, Querétaro","['Superficie total250 m²', 'Superficie construida150 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
