,House,Price,Ubication,Features
0,Se Vende Casa En Portanova Corregidora Con Despacho En Planta Baja,"6,200,000","Cerro El Macho, Juriquilla, Centro Sct Querétaro, Querétaro, QuerétaroVer información de la zona",[]
1,"Sg- Casa Para Entregar En 5 Meses En Cerro El Macho ,juriquilla, Queretaro","383,181","Club Campestre De Querétaro, Querétaro, QuerétaroVer información de la zona","['Superficie total306 m²', 'Superficie construida250 m²', 'Recámaras4', 'Baños3', 'Estacionamientos1', 'Es propiedad en remateSí', 'Antigüedad18 años', 'Ambientes1', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónSur']"
2,Venta Casa Club Campestre,"35,000,000","Av Sta Catarina, Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total1,113 m²', 'Superficie construida790 m²', 'Recámaras6', 'Baños8', 'Estacionamientos8', 'Es propiedad en remateNo', 'Antigüedad34 años', 'Ambientes16', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
3,"Estupenda E Iluminada Casa Oportunidad Villas Del Mesón Juriquilla, Queretaro México Gj-rl A","1,510,000","Loma Dorada, Querétaro, QuerétaroVer información de la zona","['Superficie total523 m²', 'Superficie construida523 m²', 'Recámaras4', 'Baños4', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad18 años', 'Ambientes6', 'Bodegas1', 'Cantidad de pisos3', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento1 MXN']"
4,Casa Venta Frac La Ermita A Un Lado De Loma Dorada Queretaro,"3,250,000","De Los Ciruelos, San Isidro El Alto, Querétaro, QuerétaroVer información de la zona","['Superficie total136 m²', 'Superficie construida166 m²', 'Recámaras4', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad1 años', 'Ambientes8', 'Bodegas0', 'Mantenimiento1,370 MXN']"
5,Casa En Remate Bancario En Querétaro Sc*,"3,300,000","Circuito Pizarra 622, San Isidro Juriquilla, Querétaro, Querétaro","['Superficie total945 m²', 'Superficie construida340 m²', 'Recámaras5', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad10 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento1 MXN']"
6,"Venta De Casa, Residencial Mila, San Isidro Juriquilla, Querétaro, Qro. Dn","1,850,000","Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total198.58 m²', 'Superficie construida119.73 m²', 'Recámaras3', 'Baños2', 'Estacionamientos1', 'Es propiedad en remateSí', 'Antigüedad15 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónSur']"
7,Casa En Venta Modelo Qui-a Altos Juriquilla M2,"7,068,750","Paseos Del Pedregal, Querétaro, QuerétaroVer información de la zona","['Superficie total172 m²', 'Superficie construida325 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes7', 'Bodegas0', 'Mantenimiento0 MXN']"
8,Rcv Casa En Altozano,"4,400,000","P.º De La Garza 69, Santa Fe, Querétaro, QuerétaroVer información de la zona","['Superficie total322 m²', 'Superficie construida216 m²', 'Recámaras3', 'Baños2', 'Estacionamientos4', 'Es propiedad en remateNo', 'Antigüedad5 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
9,"Casa En Venta En Santa Fe Tlacote, A 10 Minutos Del Centro, Muy Cerca De Galindas","2,550,000","Campestre Italiana, Querétaro, QuerétaroVer información de la zona","['Superficie total117 m²', 'Superficie construida166 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes3', 'Bodegas1', 'Cantidad de pisos3', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento900 MXN']"
10,Rcv Casa Venta Campestre Italiana,"5,400,000","Loma Dorada, Querétaro, México, Loma Dorada, Querétaro, QuerétaroVer información de la zona","['Superficie total395 m²', 'Superficie construida338 m²', 'Recámaras4', 'Baños3', 'Estacionamientos4', 'Es propiedad en remateNo', 'Antigüedad11 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
11,Casa En Venta Loma Dorada Querétaro,"11,500,000","Lomas de Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total375 m²', 'Superficie construida512 m²', 'Recámaras4', 'Baños5', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad16 años']"
12,Rcv Casa Venta Lomas De Juriquilla,"5,990,000","Campanario, El Campanario, Querétaro, QuerétaroVer información de la zona","['Superficie total251 m²', 'Superficie construida305 m²', 'Recámaras4', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes10', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
13,"Casa En El Campanario Con 5 Recámaras!, Una En Pb, Alberca Propia Y Departamento Independiente","14,900,000","Cumbres Del Lago, Querétaro, Querétaro","['Superficie total800 m²', 'Superficie construida450 m²', 'Recámaras5', 'Baños5', 'Estacionamientos7', 'Es propiedad en remateNo', 'Antigüedad10 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaDúplex', 'OrientaciónNorte', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
14,Casa Cumbres De Lago Juriquilla,"9,100,000","Residencial El Refugio, Querétaro, QuerétaroVer información de la zona","['Superficie total302 m²', 'Superficie construida463 m²', 'Recámaras4', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad9 años', 'Ambientes9', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
15,"El Refugio. Venta - Casa, 3 Recamaras, Cuarto De Servicio, Roof","3,385,000","Corregidora, Querétaro, QuerétaroVer información de la zona","['Superficie total125 m²', 'Superficie construida175 m²', 'Recámaras4', 'Baños5', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad7 años', 'Bodegas0', 'Tipo de casaCasa', 'Mantenimiento0 MXN']"
16,Casa En Venta Corregidora 4 Habitaciones Una En Planta Baja,"3,200,000","Milenio III, Querétaro, QuerétaroVer información de la zona","['Superficie total132 m²', 'Superficie construida161 m²', 'Recámaras4', 'Baños3', 'Estacionamientos0', 'Es propiedad en remateNo', 'Antigüedad1 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaDúplex', 'OrientaciónNorte', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
17,"¡casa Nueva En Venta En Milenio Iii, Con Baño En Cada Recámara Y Roof Garden!","4,750,000","Loma Dorada, Querétaro, QuerétaroVer información de la zona","['Superficie total162 m²', 'Superficie construida212 m²', 'Recámaras3', 'Baños4', 'Estacionamientos0', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos3', 'Tipo de casaDúplex', 'OrientaciónNorte', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
18,Casa Venta Santiago De Queretaro,"25,000,000","Juriquilla, Querétaro, Querétaro","['Superficie total450 m²', 'Superficie construida450 m²', 'Recámaras3', 'Baños3', 'Estacionamientos6', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes7', 'Bodegas0', 'Mantenimiento0 MXN']"
19,Casa En Venta Bio Grand Juriquilla Queretaro,"2,835,000","Cumbres Del Lago, Querétaro, QuerétaroVer información de la zona","['Superficie total146 m²', 'Superficie construida143 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
