,House,Price,Ubication,Features
0,"Venta Exclusiva: Residencia En El Campanario, Diseño De Autor, Estilo Moderno","26,580,000","El Campanario, Querétaro, QuerétaroVer información de la zona",[]
1,"Se Vende Residencia En El Centro Histórico De Querétaro, 6 Habitaciones, Jardín.","19,500,000","Centro, Querétaro, QuerétaroVer información de la zona","['Superficie total350 m²', 'Superficie construida557 m²', 'Recámaras6', 'Baños7', 'Estacionamientos4', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes13', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
2,Casa En Venta En Balcones Del Acueducto Queretaro,"8,750,000","Balcones Del Acueducto, Querétaro, QuerétaroVer información de la zona","['Superficie total323 m²', 'Superficie construida349 m²', 'Recámaras4', 'Baños3', 'Estacionamientos3', 'Propiedad en remateNo', 'Antigüedad22 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento1,550 MXN']"
3,"Hermosa Casa En Lomas De Juriquilla, Doble Altura, Estudio O 4ta Recamara En Pb","5,300,000","Lomas de Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total252 m²', 'Superficie construida315 m²', 'Recámaras4', 'Baños5', 'Estacionamientos3', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes9', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
4,"Preciosa Residencia En El Refugio, Jardín, 3 Recámaras, Estudio, Bar, Premium!!","3,670,000","Residencial El Refugio, Querétaro, QuerétaroVer información de la zona","['Superficie total250 m²', 'Superficie construida220 m²', 'Recámaras3', 'Baños2', 'Estacionamientos3', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
5,Casa En Venta En San Pedrito Peñuelas,"3,150,000","Lomas De San Pedrito, Lomas De San Pedrito Peñuelas, Querétaro, QuerétaroVer información de la zona","['Superficie total225 m²', 'Superficie construida254 m²', 'Recámaras5', 'Baños3', 'Estacionamientos1', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
6,"Casa En Venta En Villas Del Mesón, Juriquilla","12,000,000","Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total623 m²', 'Superficie construida538 m²', 'Recámaras4', 'Baños6', 'Estacionamientos4', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes11', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
7,Casa En Venta Dentro De Fraccionamiento Misión De Concá,"8,480,000","Junipero Serra Al 3000, Misión De Conca, Querétaro, QuerétaroVer información de la zona","['Superficie total420 m²', 'Superficie construida0 m²', 'Recámaras3', 'Baños3', 'Estacionamientos4', 'Propiedad en remateNo', 'Antigüedad5 años', 'Ambientes0', 'Bodegas1', 'Cantidad de pisos0', 'Tipo de casaCasa', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
8,Casa En Venta Cumbres Del Lago,"7,806,700","Cumbres Del Lago, Querétaro, QuerétaroVer información de la zona","['Superficie total326 m²', 'Superficie construida385 m²', 'Recámaras4', 'Baños4', 'Estacionamientos4', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes9', 'Bodegas0', 'Mantenimiento0 MXN']"
9,Casa En Venta Juriquilla Santa Fe,"3,675,000","Juriquilla Santa Fe, Querétaro, QuerétaroVer información de la zona","['Superficie total160 m²', 'Superficie construida156 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Propiedad en remateNo', 'Antigüedad10 años', 'Ambientes6', 'Bodegas0', 'Mantenimiento0 MXN']"
10,Casa En Colinas Del Cimatario Con Alberca. ,"6,900,000","Cerro Escondido, Colinas Del Cimatario, Santiago De Querétaro, Querétaro, México, Colinas Del Cimatario, Querétaro, QuerétaroVer información de la zona","['Superficie total250 m²', 'Superficie construida513 m²', 'Recámaras4', 'Baños2', 'Estacionamientos3', 'Propiedad en remateNo', 'Cantidad de pisos2']"
11,"Se Vende Residencia En El Campanario. Terreno 1,250 M2, Ubicada En El Hoyo 1.","29,900,000","El Campanario, Querétaro, QuerétaroVer información de la zona","['Superficie total1,250 m²', 'Superficie construida759 m²', 'Recámaras4', 'Baños4', 'Estacionamientos6', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes9', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
12,"Preciosa Casa En Altos Juriquilla, 3 Recamaras, 3.5 Baños, Jardín, Equipada","3,720,000","Cumbres Del Lago, Querétaro, QuerétaroVer información de la zona","['Superficie total180 m²', 'Superficie construida200 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes7', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
13,"Preciosa Residencia En Jurica, Indescriptible !! Ven Y Conocela, Diseño De Autor","12,950,000","Jurica, Querétaro, QuerétaroVer información de la zona","['Superficie total651 m²', 'Superficie construida461 m²', 'Recámaras4', 'Baños4', 'Estacionamientos4', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes9', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
14,"En Venta Casa En Santa Fe Juriquilla, Roof Garden, 4ta Recamara U Oficina..","3,550,000","Juriquilla Santa Fe, Querétaro, QuerétaroVer información de la zona","['Superficie total244 m²', 'Superficie construida195 m²', 'Recámaras4', 'Baños3', 'Estacionamientos2', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
15,Estrena Residencia Premium En El Campanario Con Diseño De Autor !!,"27,000,000","El Campanario, Querétaro, QuerétaroVer información de la zona","['Superficie total780 m²', 'Superficie construida771 m²', 'Recámaras4', 'Baños4', 'Estacionamientos5', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes10', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
16,"Se Vende Residencia En Carretas, Super Cétrica, De Super Lujo !!","7,990,000","Carretas, Querétaro, QuerétaroVer información de la zona","['Superficie total335 m²', 'Superficie construida380 m²', 'Recámaras3', 'Baños2', 'Estacionamientos4', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
17,Casa En Venta Villas Del Mesón Juriquilla Querétaro,"22,000,000","Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total712 m²', 'Superficie construida840 m²', 'Recámaras4', 'Baños5', 'Estacionamientos3', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes10', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
18,Casa En Venta Ubicada En Fraccionamiento La Reserva En Valle De Juriquilla,"5,450,000","Fraccionamiento La Reserva, Valle De Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total226 m²', 'Superficie construida0 m²', 'Recámaras3', 'Baños4', 'Estacionamientos3', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
19,Rcv Casa Venta Regency Jurica,"19,000,000","Jurica, Querétaro, QuerétaroVer información de la zona","['Superficie total760 m²', 'Superficie construida850 m²', 'Recámaras4', 'Baños4', 'Estacionamientos6', 'Propiedad en remateNo', 'Antigüedad14 años', 'Ambientes11', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
20,Casa Venta La Rica Juriquilla,"18,900,000","Juriquilla, Querétaro, Querétaro","['Superficie total2,131 m²', 'Superficie construida948 m²', 'Recámaras5', 'Baños5', 'Estacionamientos7', 'Propiedad en remateNo', 'Antigüedad12 años', 'Ambientes12', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
21,"Venta Casas 1 Piso (1,000m2) | Villas Del Meson | Qro76 | $9.2mdp","9,200,000","Villas Del Mesón, Querétaro, QuerétaroVer información de la zona","['Superficie total1,000 m²', 'Superficie construida350 m²', 'Recámaras3', 'Baños3', 'Estacionamientos4', 'Propiedad en remateNo', 'Antigüedad24 años', 'Ambientes7', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
22,"Venta. Casa, Cuarto De Servicio, 3 Recamaras - Quintas Del Marqués","4,250,000","Quintas Del Marques, Querétaro, QuerétaroVer información de la zona","['Superficie total162 m²', 'Superficie construida210 m²', 'Recámaras3', 'Baños4', 'Estacionamientos2', 'Propiedad en remateNo', 'Antigüedad34 años', 'Bodegas1', 'Tipo de casaCasa', 'Mantenimiento0 MXN']"
23,Casa En Venta En Sonterra Residencial,"2,100,000","Jaime Sabines 3057 Int. 36, Sonterra Residencial, Querétaro, QuerétaroVer información de la zona","['Superficie total111.84 m²', 'Superficie construida104.98 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Propiedad en remateNo', 'Antigüedad9 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaDúplex', 'OrientaciónNorte', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
24,"Preciosa Casa En El Refugio, Cto Servicio, 3 Niveles, 3 Recamaras, Luxury","3,400,000","Residencial El Refugio, Querétaro, QuerétaroVer información de la zona","['Superficie total123 m²', 'Superficie construida292 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
25,Casa En Cluster Privado,15.950.000,"El Mirador, Querétaro, QuerétaroVer información de la zona","['no disponible', 'no disponible']"
26,Casa Con Roof Garden En Venta!,"3,900,000","Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total231 m²', 'Superficie construida168 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
27,Casa En Venta Centro Histórico Querétaro,"7,200,000","Centro Histórico, Centro, Querétaro, QuerétaroVer información de la zona","['Superficie total240 m²', 'Superficie construida390 m²', 'Recámaras5', 'Baños4', 'Estacionamientos2', 'Propiedad en remateNo', 'Antigüedad0 años', 'Ambientes10', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento850 MXN']"
28,"Casa Inteligente, De Lujo En Venta En Altozano","15,000,000","Rio, Paseos Del Pedregal, Querétaro, QuerétaroVer información de la zona","['Superficie total761 m²', 'Superficie construida579 m²', 'Recámaras4', 'Baños2', 'Estacionamientos1', 'Propiedad en remateNo', 'Antigüedad50 años']"
29,Hermosa Casa En Alamos 2a Secc - Venta !!! (vm),"16,150,000","Casa En Venta - Alamos 2a Secc (eg), Querétaro, QuerétaroVer información de la zona","['Superficie total531 m²', 'Superficie construida450 m²', 'Recámaras4', 'Baños5', 'Estacionamientos4', 'Propiedad en remateNo', 'Ambientes10', 'Bodegas0', 'Mantenimiento0 MXN']"
