,House,Price,Ubication,Features
19,La Vida Que Deseas- La Vista Residencial,"5,300,000","Cañadas Del Arroyo, Cañadas del Lago, Corregidora, Querétaro","['Superficie total194 m²', 'Superficie construida240 m²', 'Ambientes9', 'Recámaras4', 'Baños4', 'Estacionamientos2', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
20,Vive En Armonía- Cañadas Del Arroyo,"3,395,000","Jade Sur, Zibata, El Marqués, QuerétaroVer información de la zona","['Superficie total161 m²', 'Superficie construida220 m²', 'Ambientes8', 'Recámaras3', 'Baños4', 'Estacionamientos2', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
21,"Terraza, Jardín, Doble Altura- Zibatá","5,195,000","Zibatá, Zibata, El Marqués, QuerétaroVer información de la zona","['Superficie total184 m²', 'Superficie construida200 m²', 'Ambientes8', 'Recámaras3', 'Baños4', 'Estacionamientos2', 'Depósitos0', 'Mantenimiento0 MXN']"
22,Diseño Único Y Moderno- Zibatá,"6,437,000","Ágata, Zibata, El Marqués, QuerétaroVer información de la zona","['Superficie total200 m²', 'Superficie construida270 m²', 'Ambientes9', 'Recámaras4', 'Baños4', 'Estacionamientos2', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
23,"Amplio Jardín, Habitación En Planta Baja- Zibatá","7,250,000","Acantha, Zibata, El Marqués, QuerétaroVer información de la zona","['Superficie total300 m²', 'Superficie construida293 m²', 'Ambientes10', 'Recámaras4', 'Baños4', 'Estacionamientos3', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
24,"Terraza, Jardín, Roof Garden- Zibatá","5,795,000","Lomas Del Campanario Norte, El Campanario, Querétaro, QuerétaroVer información de la zona","['Superficie total190 m²', 'Superficie construida210 m²', 'Ambientes7', 'Recámaras3', 'Baños4', 'Estacionamientos2', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
25,Una Casa De Altura- Lomas Del Campanario Norte,"12,350,000","Altozano, Paseos Del Pedregal, Querétaro, QuerétaroVer información de la zona","['Superficie total310 m²', 'Superficie construida372 m²', 'Ambientes8', 'Recámaras3', 'Baños5', 'Estacionamientos3', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
26,Conócela Y Enamórate- Altozano,"6,150,000","Colinas De Juriquilla, Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total180 m²', 'Superficie construida240 m²', 'Ambientes7', 'Recámaras3', 'Baños4', 'Estacionamientos2', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
27,"Jardín, Amplia Estancia, Acceso A Roof- Colinas De Juriquill","6,000,000","Lomas Del Campanario Norte, San Felipe, El Campanario, Querétaro, QuerétaroVer información de la zona","['Superficie total225 m²', 'Superficie construida320 m²', 'Ambientes8', 'Recámaras3', 'Baños4', 'Estacionamientos3', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
28,Conócela Y Enamórate- Lomas Del Campanario Norte,"8,990,000","Colinas De Juriquilla, Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total275 m²', 'Superficie construida284 m²', 'Ambientes8', 'Recámaras3', 'Baños4', 'Estacionamientos3', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
29,Diseño Que Enamora- Colinas De Juriquilla,"6,680,000","Cañadas Del Arroyo, Cañadas del Lago, Corregidora, Querétaro","['Superficie total205 m²', 'Superficie construida301 m²', 'Ambientes8', 'Recámaras3', 'Baños4', 'Estacionamientos2', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
30,Cañadas Del Arroyo- Habitación Planta Baja,"2,875,000","Central Park, Centro Sur, Querétaro, QuerétaroVer información de la zona","['Superficie total160 m²', 'Superficie construida161 m²', 'Ambientes7', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
31,"Departamento En Venta En Central Park Amueblado De Lujo,.","4,500,000","Zibatá, Zibata, El Marqués, QuerétaroVer información de la zona","['Superficie total103 m²', 'Superficie construida103 m²', 'Ambientes4', 'Recámaras2', 'Baños2', 'Estacionamientos2', 'Depósitos0', 'Antigüedad8 años', 'Mantenimiento0 MXN']"
32,"Casa En Venta En Zibatá, Con 3 Recámaras, Dentro De Condomin","5,100,000","Milenio Lll, Milenio III, Querétaro, QuerétaroVer información de la zona","['Superficie total258 m²', 'Superficie construida234 m²', 'Ambientes6', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Depósitos0', 'Antigüedad4 años', 'Mantenimiento0 MXN']"
33,"Hasta 5 Recámaras, Roof Garden- Milenio Lll","5,140,000","Taray Royal Club, Otros, El Marqués, QuerétaroVer información de la zona","['Superficie total162 m²', 'Superficie construida255 m²', 'Ambientes8', 'Recámaras3', 'Baños5', 'Estacionamientos2', 'Depósitos0', 'Antigüedad0 años', 'Mantenimiento0 MXN']"
