Price,Ubication,Total_Area_m^2,Built_Area_m^2,Bedrooms,Bathrooms,Parking,Neighborhood
6750000,"Juriquilla, Queretaro, Queretaro",180,228,3,4,2,JURIQUILLA
3250000,"Ciudad Meseta, Queretaro, Queretaro",152,167,3,2,3,QUERETARO
2750000,Residencial El Refugio,124,144,3,2,2,EL REFUGIO
4790000,Residencial El Refugio,160,272,4,4,3,EL REFUGIO
5390000,El Campanario,160,272,4,4,3,EL CAMPANARIO
3300000,"Juriquilla, Queretaro, Queretaro",275,284,4,4,3,JURIQUILLA
3300000,"Juriquilla, Queretaro, Queretaro",132,170,3,4,2,JURIQUILLA
3400000,Juriquilla,170,178,3,2,2,JURIQUILLA
3500000,"Juriquilla, Queretaro, Queretaro",160,245,4,4,2,JURIQUILLA
4300000,"Ave Portones Sn, Juriquilla",213,235,3,3,2,JURIQUILLA
6190000,"Privada Cascada De Agua Azul  199, Real De Juriquilla, Queretaro, Queretaro",250,250,4,5,2,REAL DE JURIQUILLA
5550000,Residencial El Refugio,250,296,4,6,2,EL REFUGIO
4950000,Juriquilla,240,300,3,5,3,JURIQUILLA
3351753,"Juriquilla, Queretaro, Queretaro",116,106,3,2,2,JURIQUILLA
4500000,"Real De Juriquilla, Queretaro, Queretaro",178,189,4,4,3,REAL DE JURIQUILLA
2800000,"Juriquilla, Queretaro, Queretaro",130,159,3,2,2,JURIQUILLA
3300000,"Oax 122, San Pablo",189,174,3,2,2,SAN PABLO
5890000,"Av. Los Portones, Juriquilla, Juriquilla Santa Fe",300,265,4,4,3,SANTA FE
3300000,"Juriquilla, Queretaro, Queretaro",104,260,1,2,2,JURIQUILLA
3780000,Centro,200,115,2,3,3,CENTRO
749000,"Juriquilla, Juriquilla",449,449,4,3,3,JURIQUILLA
2800000,Residencial El Refugio,91,147,3,2,2,EL REFUGIO
3300000,El Marques,142,126,3,2,3,EL MARQUES
4900000,Juriquilla,191,198,4,2,3,JURIQUILLA
3300000,"Juriquilla, Queretaro, Queretaro",165,200,4,4,3,JURIQUILLA
4200000,Residencial El Refugio,165,188,4,4,3,EL REFUGIO
3800000,El Mirador,231,193,3,2,2,EL MIRADOR
3300000,"Juriquilla, Queretaro, Queretaro",160,240,4,4,2,JURIQUILLA
