Price,Total_Area_m^2,Built_Area_m^2,Bedrooms,Bathrooms,Parking,Neighborhood
3351753.0,116.0,106.0,3.0,2.0,2.0,JURIQUILLA
4500000.0,189.0,178.0,4.0,4.0,3.0,REAL DE JURIQUILLA
2800000.0,159.0,130.0,3.0,2.0,2.0,JURIQUILLA
3300000.0,189.0,174.0,3.0,2.0,2.0,SAN PABLO
5890000.0,300.0,265.0,4.0,4.0,3.0,SANTA FE
3300000.0,260.0,104.0,1.0,2.0,2.0,JURIQUILLA
3780000.0,200.0,115.0,2.0,3.0,3.0,CENTRO
749000.0,449.0,449.0,4.0,3.0,3.0,JURIQUILLA
2800000.0,147.0,91.0,3.0,2.0,2.0,EL REFUGIO
3300000.0,142.0,126.0,3.0,2.0,3.0,EL MARQUES
4900000.0,198.0,191.0,4.0,2.0,3.0,JURIQUILLA
3300000.0,200.0,165.0,4.0,4.0,3.0,JURIQUILLA
4200000.0,188.0,165.0,4.0,4.0,3.0,EL REFUGIO
3800000.0,231.0,193.0,3.0,2.0,2.0,EL MIRADOR
3300000.0,240.0,160.0,4.0,4.0,2.0,JURIQUILLA
3300000.0,145.0,121.0,3.0,2.0,2.0,JURIQUILLA
3750000.0,223.0,123.0,3.0,2.0,2.0,EL REFUGIO
3690000.0,166.0,128.0,3.0,2.0,2.0,EL REFUGIO
2385000.0,163.0,107.0,3.0,2.0,2.0,SONTERRA
3300000.0,108.0,92.0,3.0,2.0,2.0,EL MARQUES QUERETANO
3300000.0,128.0,118.0,3.0,2.0,2.0,JURIQUILLA
1413200.0,320.0,250.0,4.0,3.0,2.0,CUMBRES DEL LAGO
26500000.0,725.0,564.0,4.0,5.0,7.0,EL CAMPANARIO
7750000.0,250.0,183.0,3.0,4.0,2.0,LA VISTA RESIDENCIAL
21800000.0,556.0,522.0,4.0,5.0,4.0,PASEOS DEL PEDREGAL
12600000.0,372.0,303.0,3.0,3.0,3.0,PASEOS DEL PEDREGAL
4950000.0,215.0,180.0,3.0,3.0,2.0,LA VISTA RESIDENCIAL
5772000.0,248.0,225.0,4.0,4.0,3.0,JURIQUILLA
11790000.0,343.0,264.0,4.0,5.0,3.0,PASEOS DEL PEDREGAL
9300000.0,374.0,246.0,4.0,6.0,3.0,LA VISTA RESIDENCIAL
3850000.0,188.0,160.0,4.0,2.0,3.0,CALESA 2A SECCION
4750000.0,182.0,0.0,3.0,3.0,2.0,LOS ROBLES
17950000.0,900.0,538.0,4.0,5.0,2.0,ALAMOS 1
4975000.0,264.0,239.0,3.0,3.0,2.0,JURIQUILLA
7800000.0,480.0,0.0,4.0,4.0,6.0,JURIQUILLA
21800000.0,556.0,0.0,4.0,4.0,4.0,ALTOZANO
12390000.0,405.0,0.0,4.0,4.0,3.0,LA VISTA RESIDENCIAL
11790000.0,343.0,0.0,4.0,4.0,3.0,ALTOZANO
3000000.0,185.0,134.0,3.0,2.0,2.0,FRAY JUNIPERO SERRA
4900000.0,189.0,0.0,4.0,3.0,2.0,LOS ROBLES
5550000.0,323.0,312.0,3.0,4.0,0.0,CUMBRES DEL LAGO
5900000.0,297.0,200.0,3.0,2.0,3.0,CORREGIDORA
22000000.0,751.0,751.0,5.0,4.0,7.0,CENTRO
3400000.0,240.0,187.0,3.0,3.0,2.0,CUESTA BONITA
5650000.0,317.0,285.0,4.0,4.0,3.0,LA CONDESA
3300000.0,178.0,178.0,3.0,2.0,2.0,EL REFUGIO
3300000.0,240.0,130.0,4.0,4.0,2.0,CARRETAS
4999999.0,330.0,300.0,3.0,4.0,3.0,CUMBRES DEL LAGO
974000.0,102.0,102.0,3.0,2.0,2.0,EL GARAMBULLO
974001.0,102.0,102.0,3.0,2.0,2.0,VALLE DE SANTIAGO
849000.0,360.0,360.0,4.0,4.0,3.0,JURIQUILLA
