Unnamed: 0,House,Price,Ubication,Features
44,Venta De Casa En Fraccionamiento Cuesta Azul Querétaro,"22,550,000","Av Pie De La Cuesta 1500 40, Cuesta Azul, Querétaro, QuerétaroVer información de la zona","['Superficie total200 m²', 'Superficie construida180 m²', 'Recámaras4', 'Baños3', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes7', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
45,,15.950.000,,"['Superficie total2,220 m²', 'Superficie construida871 m²', 'Recámaras3', 'Baños3', 'Estacionamientos6', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
46,,"14,500,000",,"['no disponible', 'no disponible']"
47,,"5,900,000",,"['no disponible', 'no disponible']"
48,,"5,800,000",,"['Superficie total247 m²', 'Superficie construida245 m²', 'Recámaras4', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes9', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
49,,,,"['Superficie total107 m²', 'Superficie construida117.67 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad22 años', 'Ambientes0', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaDúplex', 'OrientaciónNorte', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
0,Casa En Venta En Lomas De Casablanca,"1,350,000","Juriquilla, Querétaro, Querétaro",[]
1,Casa Venta Juriquilla Queretaro Con Roof Garden,"3,300,000","Residencial El Refugio, Querétaro, QuerétaroVer información de la zona","['Superficie total144 m²', 'Superficie construida177 m²', 'Recámaras3', 'Baños2', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
2,"Se Vende Preciosa Casa En El Refugio, Frente Al Parque, Estudio O 4ta Rec En Pb.","2,700,000","Cumbres Del Lago, Querétaro, QuerétaroVer información de la zona","['Superficie total135 m²', 'Superficie construida210 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
3,Casa Venta Juriquilla Cumbres Del Lago,"9,600,000","Lomas de Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total270 m²', 'Superficie construida357 m²', 'Recámaras4', 'Baños4', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad3 años', 'Ambientes9', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
