,House,Price,Ubication,Features
0,"Casa En Venta Mirador Del Cubilete Candiles, Queretaro/ Recuperacion Bancaria Laab1","565,000","Mirador Del Cubilete 196, Candiles, Querétaro, QuerétaroVer información de la zona","['no disponible', 'no disponible']"
1,Sr-casa En Remate Bancario En Juriquilla,"749,000","Juriquilla, Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total449 m²', 'Superficie construida449 m²', 'Recámaras4', 'Baños3', 'Estacionamientos3', 'Es propiedad en remateSí', 'Antigüedad15 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento1,200 MXN']"
2,"Casa En Venta Entre El Refugio Y Zibatá, 3 Recámaras, 2.5 Baños, Oportunidad !!!","2,800,000","Residencial El Refugio, Querétaro, QuerétaroVer información de la zona","['Superficie total91 m²', 'Superficie construida147 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
3,Casa Venta  Zibata Queretaro,"3,300,000","El Marques, Querétaro, QuerétaroVer información de la zona","['Superficie total142 m²', 'Superficie construida126 m²', 'Recámaras3', 'Baños2', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
4,Casa En Venta En Juriquilla La Condesa,"4,900,000","Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total191 m²', 'Superficie construida198 m²', 'Recámaras4', 'Baños2', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad7 años', 'Ambientes7', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
5,Casa En Venta Biogrand Juriquilla Queretaro,"3,300,000","Juriquilla, Querétaro, Querétaro","['Superficie total165 m²', 'Superficie construida200 m²', 'Recámaras4', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes9', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
6,"Casa En Venta En El Refugio, Gran Ubicación, 4ta Recámara En Pb, 4.5 Baños","4,200,000","Residencial El Refugio, Querétaro, QuerétaroVer información de la zona","['Superficie total165 m²', 'Superficie construida188 m²', 'Recámaras4', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes9', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
7,"Casa En Venta En El Mirador, Querétaro En Esquina Con Jardín","3,800,000","El Mirador, Querétaro, QuerétaroVer información de la zona","['Superficie total231 m²', 'Superficie construida193 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Mantenimiento0 MXN']"
8,Casa Venta Juriquilla Queretaro Con Alberca,"3,300,000","Juriquilla, Querétaro, Querétaro","['Superficie total160 m²', 'Superficie construida240 m²', 'Recámaras4', 'Baños4', 'Estacionamientos2', 'Es propiedad en remateNo', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
9,Casa Venta Biogrand Juriquilla Queretaro,"3,300,000","Juriquilla, Querétaro, Querétaro","['Superficie total145 m²', 'Superficie construida121 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
