,House,Price,Ubication,Features
0,"El Deseo, El Mirador Casa Dúplex En Planta Baja En Venta Para Inversion","2,600,000","El Mirador, Querétaro, QuerétaroVer información de la zona",[]
1,Rcv Casa Venta El Refugio,"2,750,000","Residencial El Refugio, Querétaro, QuerétaroVer información de la zona","['Superficie total114 m²', 'Superficie construida114 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad9 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento921 MXN']"
2,Rcv Casa Venta Lomas De Juriquilla,"7,350,000","Lomas de Juriquilla, Querétaro, Querétaro","['Superficie total278 m²', 'Superficie construida329 m²', 'Recámaras4', 'Baños5', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes9', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
3,Casa Venta En San Isidro Juriquilla,3.195.000,"Juriquilla, Querétaro, QuerétaroVer información de la zona","['no disponible', 'no disponible']"
4,Casa Parque 2000,"2,850,000","Centro, Querétaro, QuerétaroVer información de la zona","['Superficie total108 m²', 'Superficie construida122 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Mantenimiento1,250 MXN']"
5,"Bengonias, Fundadores Felix, Los Fundadores , Queretaro.","7,800,000","Fundadores, Los Fundadores, Querétaro, QuerétaroVer información de la zona","['Superficie total165 m²', 'Superficie construida310 m²', 'Recámaras4', 'Baños5', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes9', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
6,"Hermosa Casa En Venta En Avenida Santa Catarina, Villas Del Mesón, Juriquilla, Querétaro, México. Cmr","351,000","Avenida Santa Catarina, Villas Del Mesón, Querétaro, QuerétaroVer información de la zona","['Superficie total123 m²', 'Superficie construida280 m²', 'Recámaras5', 'Baños3', 'Estacionamientos1', 'Es propiedad en remateSí', 'Antigüedad18 años', 'Ambientes1', 'Bodegas1', 'Cantidad de pisos3', 'Tipo de casaCasa', 'OrientaciónSur']"
7,"Sk01- Casa En Remate Bancario En C. Jose Villaumbrales, Hidalgo, Santiago Queretaro, Qro. (65% Debajo De Su Valor Comercial, Solo Recursos Propios)","749,000","José Villaumbrales, Hidalgo, Querétaro, QuerétaroVer información de la zona","['Superficie total523 m²', 'Superficie construida523 m²', 'Recámaras4', 'Baños3', 'Estacionamientos4', 'Es propiedad en remateSí', 'Antigüedad12 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos3', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento0 MXN']"
8,Casa Venta Raquet Club Jurica,"357,000","Jurica, Querétaro, QuerétaroVer información de la zona","['Superficie total100 m²', 'Superficie construida100 m²', 'Recámaras3', 'Baños1', 'Estacionamientos1', 'Es propiedad en remateSí', 'Antigüedad16 años', 'Ambientes1', 'Bodegas1', 'Cantidad de pisos1', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento1,000 MXN']"
9,Casa En Venta Centro Historico,"6,800,000","Centro, Querétaro, QuerétaroVer información de la zona","['Superficie total516 m²', 'Superficie construida724 m²', 'Recámaras6', 'Baños5', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes13', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
