,House,Price,Ubication,Features
0,"Preciosa Residencia En Jurica, 4 Recamaras Con Baño Propio, Jardín, Cto Serv","8,200,000","Jurica, Querétaro, QuerétaroVer información de la zona",[]
1,"Hermosa Casa En Cumbres De Juriquilla, 3 Recámaras, Jardín, 3.5 Baños, Salatv","4,400,000","Cumbres Del Lago, Querétaro, QuerétaroVer información de la zona","['no disponible', 'no disponible']"
2,Casa En Alamos 3a Secc En Venta  (mt),"2,450,000","Fracc. Sonterra, Querétaro, Querétaro","['Superficie total150 m²', 'Superficie construida177 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes7', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
3,Casa  Venta  Sonterra,"3,500,000","Residencial El Refugio, Querétaro, QuerétaroVer información de la zona","['Superficie total190 m²', 'Superficie construida0 m²', 'Recámaras3', 'Baños2', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
4,Excelente Casa En El Refugio Con Magnífica Ubicación Con Cuarto De Servicio,"849,000","Otros, Querétaro, QuerétaroVer información de la zona","['no disponible', 'no disponible']"
5,"Casa En Venta, En Residencial Tres Cantos","585,000","Juriquilla, Querétaro, Querétaro","['no disponible', 'no disponible']"
6,"¡exclusiva Casa De Una Planta En Venta En Juriquilla, San Isidro!","2,150,000","Jurica, Querétaro, QuerétaroVer información de la zona","['Superficie total104 m²', 'Superficie construida122 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento580 MXN']"
7,"Diviana Casa En Jurica De Una Planta, Terreno De 1,200 M2, Hermosos Jardínes..","3,000,000","Juriquilla Santa Fe, Querétaro, QuerétaroVer información de la zona","['Superficie total163 m²', 'Superficie construida170 m²', 'Recámaras3', 'Baños2', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
8,"Preciosa Casa En Santa Fe Juriquilla, 3 Recamaras, Una En Pb, - 3.5 Baños","1,800,000","Rincón Campestre  Sn, Rincón Campestre de Querétaro, Querétaro, QuerétaroVer información de la zona","['Superficie total78 m²', 'Superficie construida94 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Mantenimiento0 MXN']"
9,$500mil Pesos Por Debajo De Su Valor Comercial!!!! Residencia En Rincon Campestre,"2,200,000","Juriquilla Santa Fe, Querétaro, QuerétaroVer información de la zona","['Superficie total128 m²', 'Superficie construida73 m²', 'Recámaras2', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes5', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
10,"Preciosa Casa En Santa Fe Juriquilla, 3 Recamaras, 4.5 Baños, Estudio, Roof Gard","8,500,000","Via Catania Sn, El Mirador, Querétaro, QuerétaroVer información de la zona","['no disponible', 'no disponible']"
11,Casa Venta Mirador,"3,100,000","Residencial El Refugio, Querétaro, QuerétaroVer información de la zona","['Superficie total1,202 m²', 'Superficie construida209 m²', 'Recámaras3', 'Baños3', 'Estacionamientos5', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
12,"Casa En Venta En El Refugio, Estudio O 4ta Recamara En Pb, Oportunidad !!","7,250,000","Juriquilla, Querétaro, Querétaro","['Superficie total150 m²', 'Superficie construida194 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes7', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
13,"Se Vende Casa En San Isidro Juriquilla, 3 Recamaras, 3.5 Baños, Jardín, Alberca","3,150,000","Geoplazas, Querétaro, QuerétaroVer información de la zona","['Superficie total409 m²', 'Superficie construida374 m²', 'Recámaras4', 'Baños4', 'Estacionamientos5', 'Es propiedad en remateNo']"
14,Geo Plazas Casa Venta Queretaro Queretaro,"1,800,000","Cimatario, Querétaro, QuerétaroVer información de la zona","['Superficie total150 m²', 'Superficie construida184 m²', 'Recámaras3', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
15,Querétaro Fraccionamiento Parque Santiago Querétaro Casa En Venta,"3,200,000","San Miguel, Querétaro, QuerétaroVer información de la zona","['Superficie total96 m²', 'Superficie construida96 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo']"
16,Queretaro Queretaro San Miguel Casa Venta,"2,900,000","Av. Mallorca 261, Santiago, Querétaro, QuerétaroVer información de la zona","['Superficie total180 m²', 'Superficie construida200 m²', 'Recámaras4', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
