,House,Price,Ubication,Features
0,Altozano Querétaro Casa Nueva 4 Habitaciones 272 M2 Construcción,"7,000,000","Paseos Del Pedregal, Querétaro, QuerétaroVer información de la zona","['no disponible', 'no disponible']"
1,Casa Venta Ciudad Maderas Queretaro,"5,650,000","El Marqués Queretano, Querétaro, QuerétaroVer información de la zona","['no disponible', 'no disponible']"
2,"Estrena Casa En Preserve Juriquilla, 3 Recamaras, Estudio, Jardín, De Lujo!","3,300,000","Juriquilla, Querétaro, Querétaro","['Superficie total108 m²', 'Superficie construida117 m²', 'Recámaras4', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes7', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
3,"Hermosa Casa En El Refugio, 3 Recamaras, Roof, 4.5 Baños, Cuarto De Servicio","2,835,000","Residencial El Refugio, Querétaro, QuerétaroVer información de la zona","['Superficie total138 m²', 'Superficie construida128 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
4,"Estrena En Juriquilla San Isidro, Gran Ubicación, Hermosa, 3 Recámaras, Estudio","2,900,000","Juriquilla, Querétaro, Querétaro","['Superficie total128 m²', 'Superficie construida198 m²', 'Recámaras3', 'Baños4', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
5,"Exclusiva Residencia En Venta En El Campanario, Querétaro Ubicación Premium","2,590,000","El Campanario, Querétaro, QuerétaroVer información de la zona","['Superficie total128 m²', 'Superficie construida120 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
6,"Casa En Venta En Puerta La Vista, Queretaro","18,000,000","Puerta La Vista, La Vista Residencial, Querétaro, QuerétaroVer información de la zona","['Superficie total800 m²', 'Superficie construida634 m²', 'Recámaras4', 'Baños4', 'Estacionamientos6', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
7,Casa Venta Ciudad Maderas Queretaro,"8,200,000","El Marqués Queretano, Querétaro, QuerétaroVer información de la zona","['Superficie total293 m²', 'Superficie construida300 m²', 'Recámaras3', 'Baños3', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
8,"Casa En Venta En Preserve Juriquilla, Alberca Propia, 4 Recamaras, Lujo","3,300,000","Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total108 m²', 'Superficie construida106 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
9,Tu Sueño Está Aquí- Altozano,"3,500,000","Paseos Del Pedregal, Querétaro, QuerétaroVer información de la zona","['Superficie total166 m²', 'Superficie construida250 m²', 'Recámaras4', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
