,House,Price,Ubication,Features
0,El Refugio Casa En Venta Con Roof Garden Y Acabados Modernos,"3,400,000","San Francisco Juriquilla, Querétaro, QuerétaroVer información de la zona","['no disponible', 'no disponible']"
1,"Casa En Venta En Juriquilla, San Francisco, Con Alberca Propia Y 4 Habitaciones","3,300,000","El Campanario, Querétaro, QuerétaroVer información de la zona","['Superficie total539 m²', 'Superficie construida515 m²', 'Recámaras4', 'Baños4', 'Estacionamientos4', 'Es propiedad en remateNo', 'Antigüedad15 años', 'Ambientes9', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
2,Casa Venta El Campanario Residencial,"38,000,000","El Campanario, Querétaro, QuerétaroVer información de la zona","['Superficie total1,250 m²', 'Superficie construida759 m²', 'Recámaras4', 'Baños4', 'Estacionamientos4', 'Es propiedad en remateNo', 'Antigüedad8 años', 'Ambientes13', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
3,"Casa En Venta En Lomas De Campanario Norte, Querétaro","3,300,000","Avenida Parque Santiago, Parque Santiago, Querétaro, QuerétaroVer información de la zona","['Superficie total375 m²', 'Superficie construida389 m²', 'Recámaras4', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
4,Casa En Excelente Ubicación Arf,"550,000","El Campanario, Querétaro, QuerétaroVer información de la zona","['Superficie total90 m²', 'Superficie construida62 m²', 'Recámaras2', 'Baños1', 'Estacionamientos1', 'Es propiedad en remateSí', 'Antigüedad20 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos1', 'Tipo de casaCasa', 'OrientaciónOriente', 'Mantenimiento1 MXN']"
5,Rcv Casa En Venta Campanario,"30,000,000","Circuito Pizarra 622, San Isidro Juriquilla, Querétaro, Querétaro","['Superficie total1,275 m²', 'Superficie construida827 m²', 'Recámaras4', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes9', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
6,"Venta De Casa, Adjudicada Y Con Posesión, Circuito Pizarra 622, San Isidro Juriquilla, Qro. Dn","1,850,000","Milenio III, Querétaro, QuerétaroVer información de la zona","['Superficie total198 m²', 'Superficie construida119 m²', 'Recámaras3', 'Baños2', 'Estacionamientos1', 'Es propiedad en remateSí', 'Antigüedad20 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónSur']"
7,Casa Venta Milenio Iii,"4,095,000","Blvd. Hacienda La Gloria 1201, Hacienda de la Gloria, Querétaro, QuerétaroVer información de la zona","['Superficie total192 m²', 'Superficie construida198 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
8,"Casa De Recuperación Bancaria Adjudicada En Boulevard Hda La Gloria, La Gloria, Querétaro, ¡no Créditos!","1,034,000","Casa En Venta En Misión Concá, Misión De Conca, Querétaro, QuerétaroVer información de la zona","['Superficie total150 m²', 'Superficie construida123 m²', 'Recámaras4', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad15 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento300 MXN']"
9,Casa En Venta En Misión Concá,"9,865,000","Casa En Venta En Valle Tinto En Corregidora, Colinas Del Bosque I, Querétaro, QuerétaroVer información de la zona","['Superficie total420 m²', 'Superficie construida0 m²', 'Recámaras4', 'Baños5', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad10 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
10,Casa En Venta En Valle Tinto En Corregidora,"5,400,000","Casa En Venta En Gran Reserva Preserve, Juriquilla, Real De Juriquilla (Diamante), Querétaro, Querétaro","['Superficie total340 m²', 'Superficie construida0 m²', 'Recámaras4', 'Baños4', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad1 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos0', 'OrientaciónSur', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
11,"Casa En Venta En Gran Reserva Preserve, Juriquilla","3,300,000","Cumbres Del Lago, Cumbres Del Lago, Querétaro, Querétaro","['Superficie total146 m²', 'Superficie construida0 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes0', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de propiedadCasa sola', 'Mantenimiento97,000 MXN']"
12,"  Invierte En  Tu Futuro Casa En Venta, Cumbres Del Lago, Queretaro, Remate/bancario","5,677,600","Casa En Venta En Lomas Del Campanario En Condominio San Lorenzo, Querétaro, QuerétaroVer información de la zona","['Superficie total327 m²', 'Superficie construida389 m²', 'Recámaras4', 'Baños4', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad10 años', 'Ambientes16', 'Bodegas1', 'Cantidad de pisos3', 'Tipo de casaCasa', 'OrientaciónSur']"
13,Casa En Venta En Lomas Del Campanario En Condominio San Lorenzo,"12,990,000","Prudencia Grifel 716, Santiago, Querétaro, QuerétaroVer información de la zona","['Superficie total389 m²', 'Superficie construida0 m²', 'Recámaras4', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos3', 'OrientaciónNorte', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
14,"Casa De Recuperación Bancaria En Calle Prudencia Grifel, La Joya, Jojutla, Morelos. ¡no Créditos!","672,371","Cumbres del Cimatario, Querétaro, QuerétaroVer información de la zona","['Superficie total124 m²', 'Superficie construida230 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad24 años', 'Ambientes4', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte']"
15,Venta Casa Cumbres Del Cimatario,"16,800,000","Lomas Del Marques, Querétaro, QuerétaroVer información de la zona","['Superficie total299 m²', 'Superficie construida840 m²', 'Recámaras5', 'Baños7', 'Estacionamientos8', 'Es propiedad en remateNo', 'Antigüedad10 años', 'Ambientes13', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
16,"Casa En Venta En Lomas Del Marqués, Qro; Con Recámara En Planta Baja","3,300,000","Otros, Querétaro, QuerétaroVer información de la zona","['Superficie total127 m²', 'Superficie construida171 m²', 'Recámaras4', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes7', 'Bodegas0', 'Mantenimiento0 MXN']"
17,Casa En Venta Residencial Tres Cantos,"2,100,000","Agustín Lara 122, La Joya, Querétaro, QuerétaroVer información de la zona","['Superficie total160 m²', 'Superficie construida113 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad7 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento770 MXN']"
18,"Casa De Recuperación Bancaria En Calle Agustín Lara, La Joya, Querétaro. ¡no Créditos!","1,414,639","La Vista Residencial, Querétaro, QuerétaroVer información de la zona","['Superficie total112 m²', 'Superficie construida112 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad24 años', 'Ambientes3', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento0 MXN']"
19,Casa En Venta,"4,940,000","Tlacote El Bajo, Querétaro, QuerétaroVer información de la zona","['Superficie total180 m²', 'Superficie construida215 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes7', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
20,Hermoso Ranchito En Venta En Queretaro,"19,000,000","Santiago De Querétaro, Centro, Querétaro, QuerétaroVer información de la zona","['Superficie total80,000 m²', 'Superficie construida1 m²', 'Recámaras3', 'Baños2', 'Estacionamientos15', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Mantenimiento0 MXN']"
