,House,Price,Ubication,Features
0,"Residencia En Venta En Lomas De Juriquilla, Diseño De Autor, Triple Altura!","9,000,000","Lomas de Juriquilla, Querétaro, QuerétaroVer información de la zona",[]
1,"Residencia Con Espectacular Vista Al Lago- Juriquilla, Querétaro","31,980,000","Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total1,137 m²', 'Superficie construida900 m²', 'Recámaras4', 'Baños6', 'Estacionamientos6', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes11', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
2,Una Nueva Forma De Vivir- El Refugio,"4,590,000","Residencial El Refugio, Querétaro, QuerétaroVer información de la zona","['Superficie total129 m²', 'Superficie construida186 m²', 'Recámaras3', 'Baños4', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
3,Sueña En Grande- Lomas Del Campanario Norte,"11,150,000","El Campanario, Querétaro, QuerétaroVer información de la zona","['Superficie total270 m²', 'Superficie construida352 m²', 'Recámaras3', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
4,Espacios Únicos Para Tu Familia- Altozano,"10,690,000","Paseos Del Pedregal, Querétaro, QuerétaroVer información de la zona","['Superficie total300 m²', 'Superficie construida392 m²', 'Recámaras4', 'Baños4', 'Estacionamientos4', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes9', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
5,Diseño Que Enamora- Colinas De Juriquilla,"6,890,000","Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total205 m²', 'Superficie construida301 m²', 'Recámaras3', 'Baños4', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
6,"Doble Altura, Amplio Jardín, Vapor- La Vista Residencial","8,900,000","La Vista Residencial, Querétaro, QuerétaroVer información de la zona","['Superficie total250 m²', 'Superficie construida350 m²', 'Recámaras3', 'Baños3', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
7,Vive En Plenitud- Campanario Norte,"7,920,850","El Campanario, Querétaro, QuerétaroVer información de la zona","['Superficie total236 m²', 'Superficie construida245 m²', 'Recámaras3', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
8,"4 Habitaciones, Doble Altura- Lomas De Juriquilla","7,850,000","Juriquilla, Querétaro, QuerétaroVer información de la zona","['no disponible', 'no disponible']"
9,"Amplio Jardín, Doble Altura- Lomas Del Campanario Norte","21,800,000","El Campanario, Querétaro, QuerétaroVer información de la zona","['no disponible', 'no disponible']"
10,La Llave A Una Nueva Vida- Altozano,"7,900,000","Paseos Del Pedregal, Querétaro, QuerétaroVer información de la zona","['Superficie total250 m²', 'Superficie construida410 m²', 'Recámaras4', 'Baños5', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes11', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
11,La Casa De Tus Sueños Existe- Altozano,"12,950,000","Paseos Del Pedregal, Querétaro, QuerétaroVer información de la zona","['Superficie total375 m²', 'Superficie construida389 m²', 'Recámaras3', 'Baños5', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
12,"Jardín, Amplia Estancia, Acceso A Roof- Colinas De Juriquilla","9,750,000","Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total250 m²', 'Superficie construida342 m²', 'Recámaras4', 'Baños5', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes10', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento2,500 MXN']"
