,House,Price,Ubication,Features
15,"Casa En Altozano Querétaro , Colinda Con Área Verde - Flama","930,000","Paseos Del Pedregal, Querétaro, QuerétaroVer información de la zona","['Superficie total117 m²', 'Superficie construida117 m²', 'Recámaras3', 'Baños1', 'Estacionamientos1', 'Es propiedad en remateNo', 'Antigüedad15 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos1', 'Tipo de casaCasa', 'OrientaciónPoniente', 'Mantenimiento1 MXN']"
16,Casa Hermosa En Venta En Lucepolis Con 5 Habitaciones,"5,970,000","Milenio III, Querétaro, QuerétaroVer información de la zona","['Superficie total180 m²', 'Superficie construida220 m²', 'Recámaras4', 'Baños4', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes8', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
17,Casa En El Refugio   Condominio Con Alberca ,"4,400,000","Residencial El Refugio, Querétaro, QuerétaroVer información de la zona","['Superficie total198 m²', 'Superficie construida274 m²', 'Recámaras5', 'Baños4', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes10', 'Bodegas0', 'Mantenimiento0 MXN']"
18,"Preciosa Casa En Venta En Milenio, Amplia Y Con Jardin!","2,700,000","Milenio III, Querétaro, QuerétaroVer información de la zona","['Superficie total113 m²', 'Superficie construida127 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Mantenimiento1,200 MXN']"
19,Residencia En Altozano Con Vista Plena Y Colindancia A Área Verde,"4,500,000","Paseos Del Pedregal, Querétaro, QuerétaroVer información de la zona","['Superficie total232 m²', 'Superficie construida192 m²', 'Recámaras2', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
20,"Casa En Venta En Altozano, Querétaro","11,790,000","Anillo Vial Fray Junípero Serra, Santiago De Querétaro, Altozano el Nuevo Querétaro, Querétaro, QuerétaroVer información de la zona","['Superficie total264 m²', 'Superficie construida343 m²', 'Recámaras4', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes9', 'Bodegas0', 'Mantenimiento0 MXN']"
21,Casa En Pre-venta (el Mirador),"6,750,000","El Mirador, Querétaro, QuerétaroVer información de la zona","['Superficie total235 m²', 'Superficie construida185 m²', 'Recámaras3', 'Baños4', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad1 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento1,900 MXN']"
22,Casa Ciudad Maderas,"3,850,000","El Marques, Querétaro, QuerétaroVer información de la zona","['Superficie total128 m²', 'Superficie construida174 m²', 'Recámaras4', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes7', 'Bodegas0', 'Mantenimiento0 MXN']"
23,"Rafa, Gran Reserva Preserve, Juriquilla ","3,300,000","Limba, Galindas Residencial, Querétaro, Querétaro","['Superficie total113 m²', 'Superficie construida121 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes6', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
24,"Venta De Propiedad En Ciudad Del Sol, Santiago De Queretaro. A10","3,800,000","Blvrd Peña Flor, Ciudad Del Sol, Santiago De Querétaro, Ciudad del Sol, Querétaro, QuerétaroVer información de la zona","['Superficie total160 m²', 'Superficie construida181 m²', 'Recámaras4', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'Tipo de propiedadCasa en condominio', 'Mantenimiento1,100 MXN']"
25,"Eo-11 Casa En Venta En Av. Mirador De Las Ranas, El Mirador, Santiago De Queretaro, Qro","1,350,000","Av. Mirador De Las Ranas, El Mirador, El Mirador, Querétaro, QuerétaroVer información de la zona","['Superficie total75 m²', 'Superficie construida125 m²', 'Recámaras3', 'Baños2', 'Estacionamientos1', 'Es propiedad en remateNo', 'Antigüedad10 años', 'Ambientes1', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónOriente', 'Mantenimiento100 MXN']"
26,"Casa En Condominio En Venta En Las Fuentes, Querétaro, Querétaro","1,370,000","Mar Caspio, Las Fuentes, Querétaro, QuerétaroVer información de la zona","['Superficie total123 m²', 'Superficie construida123 m²', 'Recámaras3', 'Baños1', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad12 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento100 MXN']"
27,"Casa 4 Rec 4 1/2  Baños Completos, Jacuzzi, Amplio Jardín Con Fuente, 2 Autos.","1,300,000","Sendero Del Nicho  10, Milenio III, Querétaro, QuerétaroVer información de la zona","['Superficie total28 m²', 'Superficie construida56 m²', 'Recámaras2', 'Baños1', 'Estacionamientos1', 'Es propiedad en remateNo', 'Antigüedad29 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaDúplex', 'OrientaciónNorte', 'Tipo de propiedadCasa sola', 'Mantenimiento0 MXN']"
28,Venta De Casa En Misión Del Parque 2 Recamaras 1.5 Baños,"5,990,000","Prol. Bernardo Quintana 2901, Geoplazas, Querétaro, QuerétaroVer información de la zona","['Superficie total250 m²', 'Superficie construida220 m²', 'Recámaras4', 'Baños5', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad10 años', 'Cantidad de pisos2', 'Tipo de casaCasa']"
29,Casa Venta Lomas De Juriquilla Queretaro,"1,520,000","Lomas de Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total75.8 m²', 'Superficie construida75.8 m²', 'Recámaras2', 'Baños2', 'Estacionamientos1', 'Es propiedad en remateNo', 'Antigüedad4 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos1', 'Tipo de casaCasa', 'OrientaciónSur', 'Mantenimiento350 MXN']"
30, Casa En Venta De 3 Recámaras En Valle De Juriquilla,"3,300,000","Santa Cecilia 121, Valle de Juriquilla, Querétaro, QuerétaroVer información de la zona","['Superficie total250 m²', 'Superficie construida410 m²', 'Recámaras4', 'Baños5', 'Estacionamientos3', 'Es propiedad en remateNo', 'Ambientes10', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte', 'Mantenimiento0 MXN']"
31,Linda Casa De Una Planta En Privada Jurica.,"4,490,000","Priv. Cedros, Jurica, Santiago De Querétaro, Jurica, Querétaro, QuerétaroVer información de la zona","['Superficie total160 m²', 'Superficie construida225 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo']"
32,"Excelente Casa 3 Recamaras 2 Baños Y Medio, Oficina, Terraza","9,200,000","Azhala  224, Zibatá, Querétaro, Querétaro","['Superficie total420 m²', 'Superficie construida293 m²', 'Recámaras4', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Cantidad de pisos1', 'Tipo de casaCasa']"
33,Casa En Venta En Juriquilla,"3,750,000","Hacienda Juriquilla Santa Fe, Juriquilla, Querétaro, Querétaro","['Superficie total170 m²', 'Superficie construida163 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo']"
34,Casa En Condominio En Venta En Fraccionamiento Residencial El Refugio,"4,300,000","Paso De Los Toros, Residencial El Refugio, Querétaro, Querétaro","['Superficie total294 m²', 'Superficie construida294 m²', 'Recámaras3', 'Baños3', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad11 años', 'Ambientes4', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte']"
35,"Excelente Oportunidad Bonita Casa En Venta Ubicada En Col Milenio Iii, Querétarto","3,190,000","Avenida Senda Mágica, Milenio III, Querétaro, Querétaro","['Superficie total254 m²', 'Superficie construida148 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad7 años', 'Ambientes4', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte']"
36,"Hermosa Casa En Venta, Lago Chapala Queretaro As","530,000","Lago De Chapala 110, Juriquilla, Querétaro, Querétaro","['Superficie total310 m²', 'Superficie construida230 m²', 'Recámaras4', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad13 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónPoniente']"
37,"Casa En Venta En Jurica, Querétaro, Querétaro. Excelente Oportunidad, Js","640,000","Cerrada Ciruelos, Jurica, Querétaro, Querétaro","['Superficie total400 m²', 'Superficie construida400 m²', 'Recámaras6', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateSí', 'Antigüedad10 años', 'Ambientes0', 'Bodegas0', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónNorte']"
38,Casa En Venta En Juriquilla,"705,000","Olivo No. 100, San Isidro Ii, Real De Juriquilla (Diamante), Querétaro, Querétaro","['Superficie total350 m²', 'Superficie construida440 m²', 'Recámaras4', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateSí', 'Antigüedad25 años', 'Ambientes1', 'Bodegas1', 'Cantidad de pisos2', 'Tipo de casaCasa', 'OrientaciónSur']"
39,Casa En Condominio En Venta En Lomas Del Campanario,"2,490,000","Av. De Los Santos  1100  - 50, El Campanario, Querétaro, Querétaro","['Superficie total128.05 m²', 'Superficie construida118 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes4', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte']"
40,Casa En Venta En Zibatá,"10,500,000","Jardín Del Mayorazgo 200, Zibatá, Querétaro, Querétaro","['Superficie total294.71 m²', 'Superficie construida303.09 m²', 'Recámaras3', 'Baños3', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad2 años', 'Ambientes4', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte']"
41,Casa En Venta En Grand Preserve,"4,660,000","Reserva Limba, Real De Juriquilla (Diamante), Querétaro, Querétaro","['Superficie total230.3 m²', 'Superficie construida278.88 m²', 'Recámaras3', 'Baños3', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad-1 años', 'Ambientes4', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte']"
42,Casa En Condominio En Venta En Zibatá,"4,300,000","Mayorazgo 100, Zibatá, Querétaro, Querétaro","['Superficie total205 m²', 'Superficie construida214 m²', 'Recámaras4', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes5', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte']"
43,Casa En Venta En La Vista Residencial,"5,000,000","Avenida La Vista 1100, La Vista Residencial, Querétaro, Querétaro","['Superficie total240.07 m²', 'Superficie construida276.69 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad-1 años', 'Ambientes4', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte']"
44,Balcones De Acueducto Casa De 3 Recamaras En Venta Qh3743,"4,680,000","Balcones Del Acueducto, Querétaro, Querétaro","['Superficie total200 m²', 'Superficie construida239 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad11 años', 'Ambientes4', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte']"
45,Casa En Condominio En Venta En Zibatá,"7,490,000","Mayorazgo 100, Zibatá, Querétaro, Querétaro","['Superficie total325 m²', 'Superficie construida355 m²', 'Recámaras3', 'Baños4', 'Estacionamientos3', 'Es propiedad en remateNo', 'Antigüedad13 años', 'Bodegas0', 'Cantidad de pisos3', 'Tipo de casaCasa', 'OrientaciónPoniente']"
46,Casa En Venta En Fraccionamiento Residencial El Refugio,"5,400,000","Dos Peñas 1100, El Refugio Residencial, Querétaro, Querétaro","['Superficie total234.22 m²', 'Superficie construida250.13 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad0 años', 'Ambientes4', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte']"
47,Casa En Venta En Fraccionamiento Residencial El Refugio,"6,350,000","Begoña 500, El Refugio Residencial, Querétaro, Querétaro","['Superficie total254.96 m²', 'Superficie construida310 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad14 años', 'Ambientes4', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte']"
48,Casa En Venta En Zibatá,"3,400,000","Circuito Ceiba, Zibatá, Querétaro, Querétaro","['Superficie total131.68 m²', 'Superficie construida195.54 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad8 años', 'Ambientes4', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte']"
49,,"4,500,000",,"['Superficie total129.79 m²', 'Superficie construida129.79 m²', 'Recámaras3', 'Baños2', 'Estacionamientos2', 'Es propiedad en remateNo', 'Antigüedad8 años', 'Ambientes4', 'Bodegas0', 'Cantidad de pisos0', 'Tipo de casaCasa', 'OrientaciónNorte']"
